SYMBOL	MUTS_PAM_SAMPLES	CANCER_TYPE	DRIVER_LABEL	KNOWN_DRIVER	GENE	POOL_SIGNALS	MUTS_PAM	MUTS_CS_SAMPLES	SIGNALS	ONCODRIVE_ROLE	MUTS_CS	SIGNAL_COUNT
TP53	183	LUAD	perProject_driver	True	ENSG00000141510	CFR	193	184	FR	0.006999999999999999	196	3
KRAS	120	LUAD	perProject_driver	True	ENSG00000133703	CFR	121	121	CFR	0.9995	122	3
CDKN2A	24	LUAD	perProject_driver	True	ENSG00000147889	CFR	24	24	FR	0.0315	24	3
BRAF	20	LUAD	perProject_driver	True	ENSG00000157764	CFR	20	21	FR	0.9995	21	3
DNMT3A	9	LUAD	perProject_driver	True	ENSG00000119772	CFR	10	9	F	0.1995	10	3
NRAS	7	LUAD	perProject_driver	True	ENSG00000213281	CFR	7	9	C	0.9965	9	3
EGFR	44	LUAD	perProject_driver	True	ENSG00000146648	CF	53	60	C	0.9990000000000001	70	2
NF1	40	LUAD	perProject_driver	True	ENSG00000196712	FR	49	49	F	0.0	60	2
STK11	54	LUAD	perProject_driver	True	ENSG00000118046	FR	56	54	FR	0.0025	56	2
MLL3	42	LUAD	perProject_driver	True	ENSG00000055609	FR	47	45	F	0.018000000000000002	51	2
KEAP1	40	LUAD	perProject_driver		ENSG00000079999	FR	40	40	FR	0.9385	40	2
FAT1	30	LUAD	perProject_driver		ENSG00000083857	FR	32	31	F	0.01	35	2
SETD2	18	LUAD	perProject_driver	True	ENSG00000181555	FR	21	19	F	0.0	24	2
MGA	17	LUAD	perProject_driver		ENSG00000174197	F	19	19	FR	0.032	22	2
RB1	19	LUAD	perProject_driver	True	ENSG00000139687	FR	19	21	FR	0.0005	21	2
SMARCA4	17	LUAD	perProject_driver	True	ENSG00000127616	F	18	18	FR	0.2845	20	2
ARID1A	14	LUAD	perProject_driver	True	ENSG00000117713	FR	15	14	F	0.0005	17	2
RBM10	12	LUAD	perProject_driver		ENSG00000182872	F	12	14	FR	0.087	14	2
U2AF1	6	LUAD	perProject_driver	True	ENSG00000160201	CF	6	6	F	0.9329999999999999	6	2
KDR	30	LUAD	perProject_driver	True	ENSG00000128052		33	32	R	0.8465	37	1
SVEP1	29	LUAD	perProject_driver		ENSG00000165124	F	33	31	F	0.7	37	1
LPHN2	21	LUAD	perProject_driver		ENSG00000117114	F	23	26	R	0.7335	29	1
MMP2	12	LUAD	perProject_driver		ENSG00000087245		13	13	F	0.7735	15	1
BAZ2B	10	LUAD	perProject_driver		ENSG00000123636	F	14	10	F	0.909	15	1
FN1	13	LUAD	perProject_driver		ENSG00000115414	F	13	14	F	0.10400000000000001	14	1
NTRK2	13	LUAD	perProject_driver		ENSG00000148053		13	13	F	0.708	13	1
MAP4K1	8	LUAD	perProject_driver		ENSG00000104814		8	11	C		11	1
EPHA4	8	LUAD	perProject_driver		ENSG00000116106		8	8	F	0.696	8	1
EPHB2	6	LUAD	perProject_driver		ENSG00000133216		7	6	F	0.8490000000000001	8	1
G3BP1	8	LUAD	perProject_driver		ENSG00000145907		8	8	F	0.685	8	1
ACVR1B	7	LUAD	perProject_driver		ENSG00000135503	F	7	7	F	0.187	7	1
CUL3	6	LUAD	perProject_driver		ENSG00000036257	F	6	6	F	0.1075	6	1
CRNKL1	5	LUAD	perProject_driver		ENSG00000101343		5	6	F	0.8775	6	1
SPRR3	2	LUAD	perProject_driver		ENSG00000163209		2	6	R	0.8715	6	1
NTN4	5	LUAD	perProject_driver		ENSG00000074527	F	5	5	F	0.7829999999999999	5	1
PSMD11	5	LUAD	perProject_driver		ENSG00000108671		5	5	F	0.221	5	1
EFTUD2	5	LUAD	perProject_driver		ENSG00000108883		5	5	F	0.679	5	1
PTEN	9	LUAD	Pooled_driver	True	ENSG00000171862	CFR	9	9		0.01	9	3
FBXW7	5	LUAD	Pooled_driver	True	ENSG00000109670	CFR	5	6		0.0335	6	3
IDH1	2	LUAD	Pooled_driver	True	ENSG00000138413	CFR	2	2		0.995	3	3
SMAD4	9	LUAD	Pooled_driver	True	ENSG00000141646	FR	10	12		0.016	13	2
CTNNB1	10	LUAD	Pooled_driver	True	ENSG00000168036	FR	10	10		0.982	10	2
BAP1	5	LUAD	Pooled_driver	True	ENSG00000163930	FR	6	8		0.0015	9	2
DDX5	3	LUAD	Pooled_driver	True	ENSG00000108654	FR	3	8		0.126	8	2
CTCF	3	LUAD	Pooled_driver		ENSG00000102974	FR	3	5		0.006999999999999999	6	2
NFE2L2	4	LUAD	Pooled_driver	True	ENSG00000116044	FR	4	6		0.985	6	2
TBL1XR1	5	LUAD	Pooled_driver		ENSG00000177565	FR	6	5		0.127	6	2
CIC	4	LUAD	Pooled_driver	True	ENSG00000079432	FR	4	5		0.079	5	2
CNOT4	5	LUAD	Pooled_driver		ENSG00000080802	FR	5	5		0.5875	5	2
RASA1	3	LUAD	Pooled_driver		ENSG00000145715	FR	3	5		0.0085	5	2
PBRM1	4	LUAD	Pooled_driver	True	ENSG00000163939	FR	4	5		0.0025	5	2
MAP2K1	5	LUAD	Pooled_driver		ENSG00000169032	CF	5	5		0.972	5	2
CASP8	3	LUAD	Pooled_driver		ENSG00000064012	FR	4	3		0.011000000000000001	4	2
MAP3K1	4	LUAD	Pooled_driver		ENSG00000095015	FR	4	4		0.01	4	2
CDKN1B	4	LUAD	Pooled_driver		ENSG00000111276	FR	4	4		0.0515	4	2
KDM6A	2	LUAD	Pooled_driver	True	ENSG00000147050	FR	2	4		0.0095	4	2
PHF6	2	LUAD	Pooled_driver	True	ENSG00000156531	FR	3	3		0.0205	4	2
FUBP1	3	LUAD	Pooled_driver	True	ENSG00000162613	FR	3	4		0.0195	4	2
SMAD2	3	LUAD	Pooled_driver		ENSG00000175387	FR	3	4		0.0005	4	2
ACTG1	3	LUAD	Pooled_driver		ENSG00000184009	FR	3	4		0.927	4	2
CDH1	3	LUAD	Pooled_driver	True	ENSG00000039068	FR	3	3		0.0035	3	2
MAP2K4	3	LUAD	Pooled_driver	True	ENSG00000065559	FR	3	3		0.0225	3	2
PIK3R1	3	LUAD	Pooled_driver	True	ENSG00000145675	FR	3	3		0.0215	3	2
NPM1	2	LUAD	Pooled_driver	True	ENSG00000181163	FR	2	3		0.040999999999999995	3	2
ACVR2A	2	LUAD	Pooled_driver		ENSG00000121989	FR	2	2		0.012	2	2
AKT1	2	LUAD	Pooled_driver	True	ENSG00000142208	CF	2	2		0.9945	2	2
MAP3K4	15	LUAD	Pooled_driver		ENSG00000085511	F	15	18		0.7045	18	1
MET	14	LUAD	Pooled_driver	True	ENSG00000105976	R	14	17		0.9655	17	1
EIF4G1	9	LUAD	Pooled_driver		ENSG00000114867	F	10	10		0.8765	14	1
MLL	10	LUAD	Pooled_driver	True	ENSG00000118058	F	10	12		0.0005	12	1
SETDB1	5	LUAD	Pooled_driver		ENSG00000143379	F	5	10		0.9670000000000001	11	1
CDK12	9	LUAD	Pooled_driver	True	ENSG00000167258	F	9	10		0.08900000000000001	10	1
PTPN11	9	LUAD	Pooled_driver	True	ENSG00000179295	F	9	10		0.958	10	1
FGFR2	9	LUAD	Pooled_driver	True	ENSG00000066468	F	9	9		0.9965	9	1
TAOK2	5	LUAD	Pooled_driver		ENSG00000149930	F	5	9		0.8385	9	1
POLR2B	4	LUAD	Pooled_driver		ENSG00000047315	F	4	8		0.865	8	1
MLH1	4	LUAD	Pooled_driver	True	ENSG00000076242	F	4	8		0.0335	8	1
CLASP2	5	LUAD	Pooled_driver		ENSG00000163539	F	6	7		0.198	8	1
PRPF8	3	LUAD	Pooled_driver		ENSG00000174231	F	3	8		0.713	8	1
PAX5	5	LUAD	Pooled_driver	True	ENSG00000196092	F	7	6		0.966	8	1
ZNF814	3	LUAD	Pooled_driver		ENSG00000204514	C	3	6		0.904	8	1
NUP98	6	LUAD	Pooled_driver	True	ENSG00000110713	F	6	7		0.7165	7	1
NUP107	5	LUAD	Pooled_driver		ENSG00000111581	F	5	7		0.877	7	1
ACTG2	5	LUAD	Pooled_driver		ENSG00000163017	F	5	7		0.769	7	1
STIP1	5	LUAD	Pooled_driver		ENSG00000168439	F	5	6		0.032	7	1
TFDP1	7	LUAD	Pooled_driver		ENSG00000198176	F	7	7		0.922	7	1
CREBBP	4	LUAD	Pooled_driver	True	ENSG00000005339	F	4	6		0.043	6	1
MAP4K3	5	LUAD	Pooled_driver		ENSG00000011566	F	5	6		0.055	6	1
CNOT3	3	LUAD	Pooled_driver		ENSG00000088038	F	3	6		0.9095	6	1
PTGS1	4	LUAD	Pooled_driver		ENSG00000095303	F	4	6		0.0635	6	1
HSP90AB1	2	LUAD	Pooled_driver	True	ENSG00000096384	F	2	6		0.081	6	1
EZH2	5	LUAD	Pooled_driver	True	ENSG00000106462	F	5	6		0.179	6	1
SF3B1	5	LUAD	Pooled_driver	True	ENSG00000115524	F	5	6		0.9435	6	1
MYB	4	LUAD	Pooled_driver	True	ENSG00000118513	F	4	6		0.2695	6	1
TCF4	5	LUAD	Pooled_driver		ENSG00000196628	F	5	6		0.7465	6	1
BLM	6	LUAD	Pooled_driver	True	ENSG00000197299	F	6	6		0.3155	6	1
KLF6	5	LUAD	Pooled_driver	True	ENSG00000067082	F	5	5		0.15	5	1
SMC1A	3	LUAD	Pooled_driver		ENSG00000072501	F	3	5		0.8855	5	1
CYLD	4	LUAD	Pooled_driver	True	ENSG00000083799	F	4	5		0.035	5	1
CLSPN	4	LUAD	Pooled_driver		ENSG00000092853	F	4	5		0.11599999999999999	5	1
CUL2	4	LUAD	Pooled_driver		ENSG00000108094	F	5	4		0.207	5	1
COL1A1	5	LUAD	Pooled_driver	True	ENSG00000108821	F	5	5		0.977	5	1
EEF1B2	4	LUAD	Pooled_driver		ENSG00000114942	C	5	4		0.8225	5	1
ACO1	4	LUAD	Pooled_driver		ENSG00000122729	F	4	5		0.254	5	1
CHD1L	3	LUAD	Pooled_driver		ENSG00000131778	F	4	4		0.6579999999999999	5	1
LDHA	3	LUAD	Pooled_driver		ENSG00000134333	F	3	5		0.22899999999999998	5	1
PCSK6	5	LUAD	Pooled_driver		ENSG00000140479	F	5	5		0.888	5	1
PIP5K1A	5	LUAD	Pooled_driver		ENSG00000143398	F	5	5		0.547	5	1
CCT5	2	LUAD	Pooled_driver		ENSG00000150753	F	4	2		0.8805	5	1
EIF2AK3	5	LUAD	Pooled_driver		ENSG00000172071	F	5	5		0.038	5	1
BRWD1	5	LUAD	Pooled_driver		ENSG00000185658	F	5	5		0.9259999999999999	5	1
RBM5	3	LUAD	Pooled_driver		ENSG00000003756	F	4	3		0.0315	4	1
MED24	2	LUAD	Pooled_driver		ENSG00000008838	R	2	4		0.4115	4	1
TP53BP1	4	LUAD	Pooled_driver		ENSG00000067369	F	4	4		0.11900000000000001	4	1
HSP90AA1	3	LUAD	Pooled_driver	True	ENSG00000080824	F	4	3		0.8859999999999999	4	1
TNPO1	3	LUAD	Pooled_driver		ENSG00000083312	F	3	4		0.6940000000000001	4	1
STK4	4	LUAD	Pooled_driver		ENSG00000101109	F	4	4		0.401	4	1
ARFGAP1	4	LUAD	Pooled_driver		ENSG00000101199	F	4	4		0.4275	4	1
FMR1	4	LUAD	Pooled_driver		ENSG00000102081	F	4	4		0.1195	4	1
ERCC2	4	LUAD	Pooled_driver	True	ENSG00000104884	F	4	4		0.9525	4	1
PPP2R1A	3	LUAD	Pooled_driver	True	ENSG00000105568	F	3	4		0.895	4	1
RHEB	4	LUAD	Pooled_driver		ENSG00000106615	F	4	4		0.8859999999999999	4	1
DHX15	3	LUAD	Pooled_driver		ENSG00000109606	F	3	4		0.0075	4	1
ERBB2IP	4	LUAD	Pooled_driver		ENSG00000112851	F	4	4		0.2055	4	1
STAG1	2	LUAD	Pooled_driver		ENSG00000118007	F	2	4		0.7509999999999999	4	1
UPF3B	4	LUAD	Pooled_driver		ENSG00000125351	F	4	4		0.1295	4	1
MAX	2	LUAD	Pooled_driver		ENSG00000125952	F	2	4		0.7240000000000001	4	1
CAPN7	4	LUAD	Pooled_driver		ENSG00000131375	F	4	4		0.354	4	1
MEN1	3	LUAD	Pooled_driver	True	ENSG00000133895	F	3	4		0.0285	4	1
LCP1	4	LUAD	Pooled_driver	True	ENSG00000136167	F	4	4		0.013999999999999999	4	1
ARHGAP26	2	LUAD	Pooled_driver	True	ENSG00000145819	F	2	4		0.05	4	1
EIF4A2	4	LUAD	Pooled_driver	True	ENSG00000156976	F	4	4		0.836	4	1
TAOK1	2	LUAD	Pooled_driver		ENSG00000160551	F	2	4		0.5770000000000001	4	1
COPS2	4	LUAD	Pooled_driver		ENSG00000166200	F	4	4		0.0355	4	1
SIN3A	4	LUAD	Pooled_driver		ENSG00000169375	F	4	4		0.752	4	1
GNG2	4	LUAD	Pooled_driver		ENSG00000186469	F	4	4		0.0205	4	1
MKL1	2	LUAD	Pooled_driver	True	ENSG00000196588	F	2	3		0.706	4	1
MSR1	3	LUAD	Pooled_driver		ENSG00000038945	F	3	3		0.1325	3	1
MED17	3	LUAD	Pooled_driver		ENSG00000042429	F	3	3		0.8765	3	1
NEDD4L	3	LUAD	Pooled_driver		ENSG00000049759	F	3	3		0.8445	3	1
CCAR1	3	LUAD	Pooled_driver		ENSG00000060339	F	3	3		0.012	3	1
NCKAP1	3	LUAD	Pooled_driver		ENSG00000061676	F	3	3		0.2985	3	1
PPP2R5A	3	LUAD	Pooled_driver		ENSG00000066027	F	3	3		0.048	3	1
AFF4	3	LUAD	Pooled_driver	True	ENSG00000072364	F	3	3		0.682	3	1
TOM1	3	LUAD	Pooled_driver		ENSG00000100284	F	3	3		0.2215	3	1
EP300	2	LUAD	Pooled_driver	True	ENSG00000100393	F	2	3		0.0085	3	1
PSMA6	2	LUAD	Pooled_driver		ENSG00000100902	F	3	2		0.4425	3	1
HSPA8	3	LUAD	Pooled_driver		ENSG00000109971	F	3	3		0.768	3	1
FXR1	2	LUAD	Pooled_driver		ENSG00000114416	F	2	3		0.1815	3	1
RTN4	2	LUAD	Pooled_driver		ENSG00000115310	F	3	2		0.1965	3	1
PRRX1	2	LUAD	Pooled_driver	True	ENSG00000116132	F	2	3		0.9445	3	1
CAT	3	LUAD	Pooled_driver		ENSG00000121691	F	3	3		0.836	3	1
SOX9	3	LUAD	Pooled_driver		ENSG00000125398	F	3	3		0.0655	3	1
EIF2C3	3	LUAD	Pooled_driver		ENSG00000126070	F	3	3		0.8809999999999999	3	1
GNAI1	3	LUAD	Pooled_driver		ENSG00000127955	F	3	3		0.069	3	1
MYH10	3	LUAD	Pooled_driver		ENSG00000133026	F	3	3		0.7425	3	1
SYNCRIP	3	LUAD	Pooled_driver		ENSG00000135316	F	3	3		0.396	3	1
ADAM10	3	LUAD	Pooled_driver		ENSG00000137845	F	3	3		0.7845	3	1
ATIC	3	LUAD	Pooled_driver	True	ENSG00000138363	F	3	3		0.0305	3	1
TCF12	3	LUAD	Pooled_driver	True	ENSG00000140262	F	3	3		0.0	3	1
CARM1	3	LUAD	Pooled_driver		ENSG00000142453	F	3	3		0.83	3	1
CSNK1G3	3	LUAD	Pooled_driver		ENSG00000151292	F	3	3		0.0235	3	1
ACAD8	3	LUAD	Pooled_driver		ENSG00000151498	F	3	3		0.7340000000000001	3	1
TGFBR2	3	LUAD	Pooled_driver		ENSG00000163513	F	3	3		0.0345	3	1
SHMT1	2	LUAD	Pooled_driver		ENSG00000176974	F	2	3		0.6579999999999999	3	1
