geneset	symbol
c2_cp_BIOCARTA_41BB_PATHWAY	JUN, MAP3K5, MAPK8, CHUK, MAPK14, MAP3K1, RELA, TNFRSF9, IKBKB, MAP4K5, IFNG, TRAF2, ATF2, IL4, NFKB1, NFKBIA, IL2
c2_cp_BIOCARTA_ACE2_PATHWAY	ACE2, COL4A1, COL4A2, REN, COL4A3, COL4A4, CMA1, AGT, AGTR1, ACE, AGTR2, COL4A6, COL4A5
c2_cp_BIOCARTA_ACH_PATHWAY	SRC, PTK2, TERT, CHRNG, FOXO3, RAPSN, AKT1, PIK3CA, MUSK, FASLG, CHRNB1, YWHAH, BAD, PTK2B, PIK3CG, PIK3R1
c2_cp_BIOCARTA_ACTINY_PATHWAY	ABI2, WASF2, WASL, ACTA1, PIR, WASF1, ARPC4, PSMA7, ARPC5, ARPC1A, ACTR2, ACTR3, ARPC1B, ARPC3, NCKAP1, WASF3, ARPC2, RAC1, NTRK1, NCK1
c2_cp_BIOCARTA_AGPCR_PATHWAY	PRKCB, PRKCA, PRKAR2B, PRKACB, PRKACG, GNAS, ARRB1, GNGT1, GNB1, PRKAR1A, PRKAR2A, PRKAR1B, GRK4
c2_cp_BIOCARTA_AGR_PATHWAY	JUN, MAPK8, PAK3, ACTA1, EGFR, NRG1, RAPSN, DAG1, CHRM1, PAK2, LAMA3, LAMA2, PAK4, UTRN, PXN, NRG3, PAK7, DMD, CTTN, SRC, PTK2, ITGA1, CHRNA1, PAK1, SP1, GIT2, DVL1, NRG2, MUSK, ITGB1, MAPK3, LAMA4, RAC1, PAK6, CDC42, MAPK1
c2_cp_BIOCARTA_AHSP_PATHWAY	ALAS1, ALAS2, HBA1, ALAD, GATA1, CPOX, FECH, UROS, HBA2, AHSP, HMBS, UROD, HBB
c2_cp_BIOCARTA_AKAP13_PATHWAY	PRKAG1, LPAR2, RHOA, PRKAR2A, PRKAR2B, AKAP13, GNA12, PRKACB, GNA13, PRKACG, LPAR1, LPAR3
c2_cp_BIOCARTA_AKAP95_PATHWAY	PRKAG1, PPP2CA, PRKAR2A, PPP1CA, PRKAR2B, DDX5, PRKACB, PRKACG, CCNB1, AKAP8, NCAPD2, CDK1
c2_cp_BIOCARTA_AKAPCENTROSOME_PATHWAY	PCNT, PRKAR2B, PRKACB, PRKACG, NUP85, CDK1, PRKAG1, RHOA, PPP2CA, PRKAR2A, PPP1CA, MAP2, PKN1, AKAP9, PRKCE
